iter	Passed	Remaining
762	4576	1421
763	4582	1415
764	4588	1409
765	4594	1403
766	4600	1397
767	4605	1391
768	4611	1385
769	4617	1379
770	4623	1373
771	4628	1366
772	4634	1360
773	4639	1354
774	4645	1348
775	4653	1343
776	4660	1337
777	4669	1332
778	4675	1326
779	4682	1320
780	4688	1314
781	4693	1308
782	4700	1302
783	4707	1296
784	4713	1290
785	4718	1284
786	4723	1278
787	4730	1272
788	4736	1266
789	4742	1260
790	4748	1254
791	4754	1248
792	4760	1242
793	4765	1236
794	4771	1230
795	4777	1224
796	4781	1217
797	4787	1211
798	4793	1205
799	4800	1200
800	4806	1194
801	4812	1188
802	4818	1182
803	4823	1175
804	4829	1169
805	4835	1163
806	4840	1157
807	4846	1151
808	4852	1145
809	4858	1139
810	4864	1133
811	4869	1127
812	4874	1121
813	4880	1115
814	4886	1109
815	4892	1103
816	4899	1097
817	4905	1091
818	4911	1085
819	4917	1079
820	4923	1073
821	4928	1067
822	4935	1061
823	4941	1055
824	4947	1049
825	4953	1043
826	4959	1037
827	4965	1031
828	4970	1025
829	4976	1019
830	4982	1013
831	4988	1007
832	4994	1001
833	5000	995
834	5007	989
835	5012	983
836	5018	977
837	5024	971
838	5030	965
839	5036	959
840	5042	953
841	5048	947
842	5053	941
843	5059	935
844	5065	929
845	5071	923
846	5078	917
847	5084	911
848	5090	905
849	5095	899
850	5102	893
851	5107	887
852	5113	881
853	5119	875
854	5123	868
855	5129	862
856	5135	856
857	5141	850
858	5146	844
859	5152	838
860	5159	832
861	5165	826
862	5170	820
863	5176	814
864	5180	808
865	5186	802
866	5193	796
867	5198	790
868	5203	784
869	5209	778
870	5215	772
871	5221	766
872	5227	760
873	5233	754
874	5239	748
875	5245	742
876	5250	736
877	5257	730
878	5263	724
879	5268	718
880	5274	712
881	5278	706
882	5285	700
883	5291	694
884	5296	688
885	5303	682
886	5309	676
887	5314	670
888	5319	664
889	5325	658
890	5329	651
891	5335	646
892	5341	640
893	5347	634
894	5353	628
895	5359	622
896	5365	616
897	5371	610
898	5377	604
899	5383	598
900	5389	592
901	5396	586
902	5403	580
903	5409	574
904	5415	568
905	5421	562
906	5427	556
907	5433	550
908	5438	544
909	5445	538
910	5451	532
911	5456	526
912	5462	520
913	5468	514
914	5474	508
915	5481	502
916	5487	496
917	5493	490
918	5499	484
919	5504	478
920	5510	472
921	5516	466
922	5522	460
923	5528	454
924	5534	448
925	5540	442
926	5545	436
927	5551	430
928	5557	424
929	5562	418
930	5568	412
931	5575	406
932	5581	400
933	5588	394
934	5594	388
935	5600	382
936	5606	376
937	5611	370
938	5617	364
939	5623	358
940	5629	352
941	5635	347
942	5641	341
943	5648	335
944	5654	329
945	5660	323
946	5666	317
947	5673	311
948	5679	305
949	5685	299
950	5690	293
951	5696	287
952	5701	281
953	5707	275
954	5713	269
955	5718	263
956	5724	257
957	5729	251
958	5735	245
959	5741	239
960	5747	233
961	5754	227
962	5759	221
963	5765	215
964	5770	209
965	5776	203
966	5782	197
967	5786	191
968	5792	185
969	5798	179
970	5804	173
971	5810	167
972	5815	161
973	5820	155
974	5826	149
975	5832	143
976	5837	137
977	5843	131
978	5848	125
979	5854	119
980	5860	113
981	5866	107
982	5872	101
983	5878	95
984	5883	89
985	5889	83
986	5895	77
987	5900	71
988	5906	65
989	5912	59
990	5918	53
991	5923	47
992	5929	41
993	5935	35
994	5941	29
995	5947	23
996	5953	17
997	5958	11
998	5964	5
999	5970	0
